numb,tweet,label
0,'s  is our . What's yours?,0
1,@DiceMore I guess she got tired of her war on Tony that's been raging for about a year.,0
2,Fast and furious marathon soon! ✌🏻,0
3,"Summer is drawing to a close. It's been incredible. Build your life on dreams, kindness, hard work &amp; imagination. #manifest  #music",0
4,"Longing to see Your face, Christ Jesus, I rejoice in the anticipation of Your coming again!",0
5, 8 years of having to endure Obama!,0
6,"Ground control to Captain Tom, eclipse was mind blowing #solareclipse2017 ",0
7,Bruno Mars' 24K but instead of  it's  ,0
8,"Hey there internet, it's your girl Nakatami64 and I am exhausted. I don't really want to get too much into everything but this depression is hitting me hard. I haven't been sleeping well, I've lost most of my appetite and it's gotten harder and harder to smile lately. 1/5",1
9,@dpm0319 So funny!!!!!!!!! #lol   #clever,0
10,"She as always came  and I think that such behavior in her nature.  sticked to me like something around the teeth, but it happened so long time ago that I haven't taking an attention...  pic.twitter.com/RAo4ocDH1O",1
11,"The  in  disorder is deeper, darker, and more persistent than in unipolar disorder (depression).",0
12,is in the news a lot for treating  and other conditions; but what is it? Contact us to learn more!  ,0
13,"we all think about it, some more than others \n\n#death #sad #depressed #suicide",1
14,i was more happy and excited about mamapink's interactions with each other than i was about any of their wins i gtg,0
15,Can't believe this Christmas is going to be a repeat of last year.,1
16,"when ur really  on xmas eve :,)",0
17,I guess my vacation is over... Back to work I go.  ????,0
18," mood can be caused by infectious diseases, nutritional deficiencies, neurological conditions, and physiological problems.",1
19,"@VanBluesat @infrared_rock Among them, is Hawrelak Park and the stage they have there. A great venue. #livemusic #blues",0
20,Well  couldn't really have done much more to spoil Christmas. Pointless beating City if we throw it away against Saints.,0
21,LogRhythm: LogRhythm helped First_Financial bank unify #threat data and #streamline responses. Learn how in this case study:… …,0
22,The real question is: why isn't he worth the investment as a long-term romantic partner?,0
23,Laying in bed at 1 pm. Yesterday's therapy session hit me harder than I thought it would. ,1
24,LOVE ordering expensive gifts and receiving something NOT AT ALL like the discription or the color presented :-( ,0
25,Great meeting with my great friend and superstar lawyer Bryan Freedman @ftllp .  Such an amazing person who does so much for many. ,0
26,"I was smiling yesterday, i'm smiling today, i'll smyl tomorrow, bcoz lyf s too short to cry for anything, we nid to be strong.",0
27,It's depressing because it's true???•   pic.twitter.com/HNIl8JFKDx,0
28,"When teens feel down, there are ways they can cope with these feelings to avoid serious , such as make new friends or social connections and participate in sports or school activities. Call Focus & Balance at 210-858-9980 to learn more and see how we can help.  pic.twitter.com/ydrYcTBD2r",0
29,You know you're  when a friend wants to come upstairs to say hi and you can't even fathom sitting up much less talking,1
30,Sometimes i just want to be alone......... Forever  ,1
31,I'm trying really hard to find a reason to be positive about today and keep coming up empty   pic.twitter.com/4j8PkbxzMg,0
32,"I hate when my sisters…say… ""I'm going kill myself"" Ugh so fucking triggering…   ",0
33,"Keep a relentless eye on your goals! Perseverance, joyful dedication, and unwavering focus will get you @AmyLeighMercree",0
34,I've never dream to love him,0
35,3am smokes at night π¬ loving and hating life π‘πΌ never gonna sleep again π› forever alone and getting used to it π¤·π»β€β™€οΈ is a bitch,1
36,Love kaayo nako tanan tao pero I think Iβ€™m just nothing to all of you.,1
37,Sucks to be livin in a place where no one gives a shit about you. ,1
38,Certain medications are known to cause  mood in a significant number of patients.,0
39,"don't tell me to cheer up; w/no friends (i want to see), no gf, no pets, i'm prob more  than u are  ",1
40,"Stuck in the hospital, hating life,  as all fuck and so tired of gut issues.But hey, I got to video chat with my Siamese today, so it's not all bad.",1
41,"'You dare threaten me, Thor, with so puny a weapon?'",0
42,#fans #gamers what you think @EAMaddenNFL 18 is going to rate the #Dolphins #offense #defense special teams rating &amp; rank out of 32 teams,0
43,Might as well just sleep  ???¥,1
44,Not in the spirit of  . In fact,0
45,"Some days the  settles in the soul. The eyes don't twinkle, the lips forget to  and the  sinks.",0
46,"If u feel lonely, afraid, desperate, empty inside, SUICIDAL..u r not alone. I've been there...& not that long ago.   ",0
47,139   ???????????????????????????????????????????????????????????????????????   ??????????????????????????????????????????????????????????????w   ??????????????????????????????   ????????????????????????   ??????????????????????????????????????   ???????????????????????????????????????????  ????????????????????????,0
48,Music is just my best friend…fix everything I guess…,0
49,party tattoos by dodie has become my cheer up song ✨,0
50,First yr not being around my dad on da holidays n it's breaking my heart  I wish he just call me that's all i want 4 Christmas,1
51,I think depression and grief and anxiety and so many mental illnesses really are like the ocean. Sometimes it's a great day for swimming and sometimes the waves are knocking you flat. It never fully gets better. But try to hang on to the good days guys. I will too,0
52,"The worst kind of grief, screaming crying, is when it's for no reason other than voices in your head and chemicals in your brain ",1
53,"""Me Before You"" has me crying my eyes out right now ",0
54,Going to have to say goodbye to our beloved pup in the upcoming weeks. ,1
55,"It doesn’t help that I live on my own in a bachelor apartment the size of a storage locker. I need to find a bigger, & better apartment. , ",1
56,Applied to 5 universities already. Now I need my Fasfa and scholarship letters ,1
57,Less than an hour into the year & someone has already upset me. Just put me down ???§   ,0
58,Had a total meltdown on the way home from dinner.  ,1
59,   it will get better soon..... HOPEFULLY  pic.twitter.com/FwDjSaurI3,0
60,"Despite the weather we are having, we shall be at the stall with hot food and drinks on Saturday. Come and say hello to the team   ",0
61,"Human being is a design of expression that despite the  of a situation, regardless of the odds, we still rise in our .",0
62,@TheOpen @RoyalBirkdale_ I'll be there with @Jimbo_7 cheering on @MattFitz94 on Friday - can't wait!,0
63,ive lost all interest in existing and doing the things i love but no one cares so im gonna take a nap,1
64,@Bemannn UGH I can't even contain my excitement!! 😍,0
65,"When I was a little boy, I never dreamed I'd end up like this.  .",1
66,"Happy New Year!! Here's to 2017, believe me, it can't go any worse than 2016 did. Yay for 2017! Lol.  ",0
67,"Only difference being that now I hurt more than so, because  led me to vertebral, sacral, radial fractures. GG N1 2016.",1
68,I can be so emotional... Way too emotional! ,1
69,Heading to PNC today to get the ball going for my MA! #goingforit #nervous #excited,0
70,"6+ yrs of saving & my eye sight staying the same, i was excited for ... Just found out; im not a candidate.  very ",1
71,I am not even a nobody to anyone,1
72,Using  Key Influencer with prediction of  dataset explained by NOMIS lone parent dataset   pic.twitter.com/bkxdfCUsib,0
73,"@chuckwoolery I Feel sick reading this, when does it end? #dread #civil war? #sad",1
74,I <3 this @ANOHNItweets LP so so much ,0
75,", that was the eighties ,,wot we hav now is .",0
76,"Maybe telling him everything in the start was the start of another mistake. Why do i always make dumb mistakes? HAHAHAH what's new. I'm dumb anyway.
  ",1
77,"What is the base of the power? When it can be definite ""power""?The loneliness or the company create it?   ",0
78,@help_dms___ So good lunch 😊,0
79,Top Musique 2016 :  N2 :    pic.twitter.com/wRsdJ4Av6z,0
80,There are recipes for #porkchops w apple cider glaze but has anyone tried the meat steeped in the vinegar &amp; #BBQ w hickory smoke? #delicious,0
81,I don't remember the last time I've cried this much from being sick.    ????????,1
82,huddling before flames\ndon't let poetry scare you\nproduction is wild\n#haiku,0
83,Don't frown be meh,0
84,@Jesus_Luvs_Us Hello Jillian &amp; JC - a nice wisg from Betty for blessings to us all - I wish you the same - have a wonderful Tuesday! 😀,0
85,Today is probably one of the worst days of my life and idk what to do  ,1
86,Too much niggas knew where my mum lived so we moved her out 😊 definitely one of the best feelings recently lol,0
87,feeling so alone and misunderstood.,1
88,"The worst thing about  is that it teases you thinking you are getting better, but then it drops you back to the bottom harder every time.  I wish I could just be happy....  pic.twitter.com/zRf2H1L13H",1
89,"Have you ever felt so  and , that you had horrible thoughts?Who do you turn to when you have no one? No one you can trust",1
90,The worst feeling ever..­ God help me. .,1
91,"Was it the molly that made you ""like"" me?  ",0
