numb,tweet,label
0,Watching Senator Adeleke and his joyful dance steps this morning got me rolling. Dude can bougie,0
1,i thought i was getting better :/ ,1
2,"Keep wondering how my life could've turned out, if not shaped by certain . Feeling  & .",1
3,Those days when you wish a hole would open beneath you and swallow you whole so your brain will shut the hell up ,1
4,"Laying in bed eating dinner for one, watching netflix! Surely there's more to life?!   ",1
5,My biggest wish is to one day have a true friend. To be accepted the way I am.,1
6,So far he stop texting me…after I said something…so hopefully he doesn't show up at my house…,1
7,I was not included in that tweet... ,0
8, is more closely associated with  than ,0
9,I didn’t want to wake up. I was having a much better time asleep. And that’s really sad.,1
10,brains have some of the most tiring dreams. Maybe because they're some of the most vivid?,0
11,I just got off work I don't have any food at my house bc leaving tomorrow and McDonald's isn't even open right now,0
12,"In all honesty, my actual New Yearβ€™s resolution is to be nicer to myself...I became my own worse enemy in 2017 and I donβ€™t wanna give up just yet.    pic.twitter.com/ZipSVbJjqd",1
13,"You can be discouraged by failure or you can learn from it. -- Thomas J. Watson,#motivationalquote,#success",0
14,I have trouble falling asleep and waking up. How?,1
15,My new years resolution is to not be depressed or want to kill myself everyday π•π©π©π©,1
16,2 hours of kip #class #blessed #happy #smiling,0
17,Why is an alarm clock going 'off' when it actually turns on? #alarm #alarmclock #ThursdayThoughts,0
18,Don't ever frown upon someone chasing a dream. Remember you were once chasing one too. HUMILITY ......,0
19,"Felt good that I was at least able to get my laundry started, but haven't done anything past that. Though I've at least fed myself today. :/  ",1
20,Still wondering if SyFy can have a theme song for ?   pic.twitter.com/E7li3gwIfU,0
21,It amazes me how many useful videos there are on Youtube.  Everyone sharing knowledge &amp; making money doing it. #wonderful,0
22,Was expecting this from Dhoni but thought he will say 4th test will be his last.  ,0
23,It always hurts to be the one who cared more ??,1
24,I'm not go to the beach next week ,0
25,I am at that point where I lost interest in doing the things I love,1
26,"@MFaizAbdulKarim And i'm serious, 20-23 july, singapore, holiday (and accompany my friend for job interview), with one of my friend.",0
27,More snow in Boise than here in the AK ,0
28,Happy #worldfringeday I can't think of a more appropriate year to perform at the @edfringe for the first time with @CultureClashUK ,0
29,@beenthatkyd so I scrolled back up on the '17 GC because I missed it earlier and man you toooooooooo funny 😂😂😂😂😂 hilarious headassss!!!,0
30,When you've single for so long and start to wonder do you even still know how to hug ,1
31,I'm in desperate need of a good hug and a hot cup of coffee. I have no one here to hug me right now and no coffee maker at all.,1
32,@bugwan Crown? Teaching the kiddies to have a flutter?,0
33,People are so thankful for their life around . I get  because I don't feel anything.,1
34,When you're saving loads of money not drinking so you start buying ALL THE THINGS #sobergirlproblems  #sobriety,0
35,"Feeling okish one minute then ?? for no reason what's so ever. Psychiatrist was right chronic depression gives no warnings, mood just dips when it feels like it.  Top it off anxiety is at a high too.  ",1
36,Can't for one moment think why I've never had a girlfriend. ???•    pic.twitter.com/GkMrIhR6LI,1
37,"@ghibIiyoongi happy birthday love!! 🎉🎁 i hope you're having the best day, i'm glad we met💕",0
38,Exercise is a powerful tool for dealing with,0
39,â™?4 Degrees - ANOHNI   ,0
40,Up early. Kicking ass and taking names. #offense.,0
41,I can't get myself out of this rut. I want to die. But I care too much about everyone else. So I will continue to be miserable. ,1
42," is dangerous. Itâ€™s addicting. Once you see how peaceful it is, you donâ€™t wanna deal with  ",1
43,"Dark place last year, I don't want to ever go back to that!   ",1
44,It's funny at night I hate sleeping but sleeping helps I just feel so dead now is there an explanation to this feeling?,1
45,it does but it's not   pic.twitter.com/NdjFnOqSFP,0
46,A little of # yoga for a #happy day!! #Noeishappy #yogagirl #yogaeverydamnday #namaste #grateful #blessed 🙋😊🙏,0
47,"I've never seen something so revolting, yet so irresistible as Wendy's Queso. I must have it",0
48,I'll give in to happiness when it shows its self  ,0
