numb,label,tweet
0,1,"So...for the first time in two days, I got up, showered, and I'm actually out. Because depression may suck, but, I have to keep fighting. "
1,1,I'm so fucking depressed right now. I've lost all interest in things I used to genuinely enjoy. All I've been doing is sleeping. I'm letting all my grades slip. I have this feeling constantly lingering over me and I can't describe it. Everyday I cry as at least once.
2,0,"Finally a famous football team is in the UAE but as usual i have bad luck and i can't go see them ,  not only over this"
3,1,Showing my face because Ive nothing better to show. Need some people in my life to find love or something...   pic.twitter.com/88fB5IKAu8
4,1,Iâ€™m so stressed and frustrated right now.  Iâ€™m not about this.  
5,1,"i have lost all interest in things like gaming, twitter, kpop, drawing, drag race etc idk what im doing"
6,0,"@AvrilLavigne Mom A. i saw ur insta, why? ur picture black in white, but☝ it's nice ur smile :) winner💕💕🌸🌸🌸"
7,0,@blackvoices Keep it up @gucci1017 #sober clear minded I see you over in Europe on tour killing the game right now!
8,1,I need an IBF and takers...  
9,1,I miss my friends so badly 😢
10,1,i hate nye for the last like 3 years ive had nowhere to go and i get so damn depressed seeing literally every other person in the world at a party or living it up in some way i just want to die lmao
11,0,Is today YOUR day?  to choose happiness + success over  + failure  pic.twitter.com/jp1pghgs8H
12,0,Granny's out ???” I shall eat chocolate to make myself feel better ???­    ??’”
13,0,@TheSocialCTV was a guest at your show today .. Just wanted to say what an enjoyable experience from arriving to leaving #smiling
14,1,"Smiling had been always natural for me. It was easy to conjure up on my face. Now it became one of the hardest things to do in my life, next to living.    "
15,1, is being colorblind and constantly told how colorful the world is.
16,0,"Do #you #said, people never cross the 10! #serious"
17,0,"Since RED China entered the WTO, 70,000 U.S. factories have closed. - D. Trump  "
18,1,Never looking for pity. Just looking for company and consolation.   
19,0,@dp_srk_rk It's going 3 only. He has berdych tomorrow. Nothing to worry. Easiest draw
20,0,"Such a great condition upon new year, no rest for the weary "
21,0,Best anxiety & depression  quick fix : the loving eyes of your pup. The world feels 1000 times more hopeful after a receiving some . pic.twitter.com/PlCs6KUyGj
22,0,"Instead of asking #blessing from GOD the Father, remain #engaged on #pilgrimage of remembrance. Never get #tired on spiritual pilgrimage."
23,0,Always sad on New Year ???’ Diff time of year 4 lot ppl. Always the hope the next year will b better.  wd b nice 2  
24,0,@071304Nathan Happy #blissful birthday
25,0,"life is too hard, and you don't have a clue to it. guess what, doing nothing can also kill yourself. "
