numb,tweet,label
0,Fuck i am so tired I only got 2 hours of sleep I already drank 2 cups of coffee well one of them was technically iced coffee with some frozen milk in it I think anyway there's too much sugar coursing through my body and I can't settle down it's gonna make sleeping a hard fuck,1
1,Why does the president of the US tweet like Regina George? ,0
2,@djayShazam Hey Shazam! I really love that &quot;Open Your Eyes&quot; by Dwele! I've never listened 2 him like that before! ,0
3,@UnitedStandMUFC So English clubs get over charged and other clubs like Real Madrid bully to get players on the cheap,0
4,@Tinu whew.  almost changed my perception of you.  Now I can put you back on the pedestal.   ,0
5,if the only thing i eat today is an entire cookie cake then technically i am not overeating,1
6,@Jonasbrothers heck to the yes  &lt;333,0
7,"Termino el año peleada con mí mamá y encima soy yo la ""mala""",1
8,Just left the gym and I'm feelin good~ no work tomorrow woot~ ,0
9,@Beautyinblknwht u mite need to check into rehab... ,0
10,what time is it? SUMMER TIME! ,0
11,"its my birthday!!!!!!! finally 19, woohooooo!!! ",0
12,@KimKardashian GO WITH THE HAIRCUT!!! YOU WILL BE GORGEOUS...I COULD TOTALLY SEE THAT LOOK ON YOU ,0
13,"When I care, you don't care. When I hope you flat and you make me hopeless. When I love, you don't loved. Okay, I'm gone.",1
14,"being in 2018 was totally make me, feel everything. pain, sad, happy, cheer up, down to knee and cant handle my life were the struggles ever. but i believe in 2019 will be better.

Bismillah :)",1
15,I NEED SOME DRUGS BRO!!before I become angry for no reason,1
16,@Marii89 y uh I'm closing ,0
17,Today has been a terrible day. I have no interest in doing anything. I feel horrible. I don’t know what I did wrong. I just don’t know what to do anymore. I am a failure and feel like a coward.,1
18,I can hear my heart. I can feel it. Alright it’s slowing down...,1
19,goodnight  &amp; this one is final.,0
20,I really wanna sleep earlier. I am a sleeping-person but too much hw,1
21,I’m actually so mad wow. So many friends of mine have been struggling/still struggle with suicidal thoughts and mental issues. My brothers have no idea what could possibly be going on in someone else’s life yet think it’s okay to make suicide look WEAK,1
22,"tl;dr looks a lot of (foreign) family overseas as well, since it might be more like ",0
23,@Good_Therapy and @CounsellorsCaf are talking about #depression today! What's trending in your community?,0
24,bruh i thought i was the only one that listen to this shit when i feel depressed. but i feel you bro things will get better :),1
25,Talnet show tonight at my church  not sure how its a fundraiser.,0
26,wtf it’s 7.16am now and i dont feel sleepy or tired at all??? WHAT HAS GOTTEN INTO ME WTHELL IM JUST GNA PLAY BANDORI,1
27,"Sina hoes nax, ay i am a failure",1
28,Ano tong twitter. ,0
29,@mcflyellie Heyy Ellie... saw Jonas Brothers last night.. and McFly was there...they were amazing ,0
30,WHO GAVE YOU THE FUCKINF RIGHT I AM ATTACK THIS IS IT IM DONE IM SLEEPING UNTIL MONDAY RHIS Is too Much FOR TODAY  pic.twitter.com/M6H4FRf1Ub,1
31,"To who ever comes Across This.

As we’re about to Enter the year 2019 I pray may God fulfill you heart desire, and I wish; 
The Homeless a Home
The Hopeless a Hope
The Jobless a Job.
Those Unmarried to be Married.
Those Unhappy to be Happy.
Those Unhealthy to be Healthy.

Thread",1
32,@wopkec7 I'm listening to Wonderful Days 2.08 - showtek remix. Definitely something for you ,0
33,i think julie andrews is still amazing.. ,0
34,@crimemma congratulations on becoming a senior lecturer! Well deserved 😄,0
35,Atleast I now have my appetite back. For the past 2-3weeks I've had poor appetite.,1
36,I would just like to say that I have THE best friend in the whole world...literally  I lovesss you &amp; I'm glad you're feeling better ,0
37,Fast and furious marathon soon! ✌🏻,0
38,"maybe im better off dead.
if i was, would it finally be enough to shut out all those voices in my head?",1
39,"But we hardly see the pain of failure, rejection and dismissals.  

I struggle with time — I constantly  worry that I might run out of it.  

I worry if I am a good daughter, mother, friend, or a partner. Between great moments of joy, are trenches of exhaustion.",1
40,@mnstrsnmnchkns  it was a happy cry.. ,0
41,"I keep overeating these days to fill the void in me

But its never ...not empty.

Today i rlllllllly binged tho and now i am feeling like shit lmao

Soon i'll switch to not eating and vomiting instead 😌

Knowing the body habits lmao",1
42,@Shadez @geek_rohit  good to know boys .. looks like a big plan is underway.. ,0
43,Interview Thursday! ,0
44,its almost 2am here and i am really tired bc of this week's special happenings i have been sleeping late at night and doing too much work but i still decided to use my phone instead of sleeping arghhh,1
45,will be great seeing pink with meme in june ,0
46,@YoungCeothaBoss lol good morning ceo.... For the second time ,0
47,"The movie , TERMINATOR SALVATION rock ! damn nice and exciting ! i love that show man ! ",0
48,"@jakewalden - yes, that would be really great, you and #Matt Alber performing together ",0
49,so I've decided to put off my Tai Ji Quan article until I've gone to Wudang Mountain (also for free) ,0
50,@nannyf my pleasure Fi ,0
51,is COMPLETELY CHOKED! ,0
52,@therealginger Just waiting for the DMs from the musicians calling me out for saying I liked them *shhhh maybe they missed my blip* ,0
53,@anitafiander Thanks... Happy Mother's Day to you too ,0
54,"Most people have trouble with sleeping
I have trouble with staying awake, it's still 9:30 pm in my time and I'm already feeling like half asleep",1
55,Thank you my fans for that two pennies!  That gave me a good laugh this morning!,0
56,"I get irritated too easily .Im an extrovert  ,but can quickly become antisocial .🙄🙄",1
57,I have trouble staying asleep as it goes on. I’ll start waking up every hour starting around 10. It’s the worst.,1
58,We want to help you with your . Give our office a call to learn how  may be the treatment you've been waiting for!,0
