,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target
3906,406521393543524352,406521393543524352,2013-11-29,shutupkez,"I don't get how people can be together for so long, I mean I struggle to keep my cats attention for like 20 seconds",[],"I don't get how people can be together for so long, I mean I struggle to keep my cats attention for like 20 seconds",1
3910,388922100607508480,388922100607508480,2013-10-12,sheseemslegit,"I'm far too sober to find porn weird enough to keep my attention.

The struggle is real.",[],"I'm far too sober to find porn weird enough to keep my attention.

The struggle is real.",1
3911,385067460744847361,385029675065438208,2013-10-01,nicholasbark,@paul_muszynski I would like to keep my grade up. Every point counts when you struggle to pay attention in class,[],@paul_muszynski I would like to keep my grade up. Every point counts when you struggle to pay attention in class,1
3913,371466870458556416,371466870458556416,2013-08-25,sunsugarja,You know I don't have a problem with her. But she struggles to keep my attention. ,['#shitgirlstalkabout'],You know I don't have a problem with her. But she struggles to keep my attention. #shitgirlstalkabout,1
3914,347103120507154432,347100790843912192,2013-06-19,whydoicare123,"@MrMatthewMcA know what u mean, i do struggle to keep my attention on something if I am watching TV alone",[],"@MrMatthewMcA know what u mean, i do struggle to keep my attention on something if I am watching TV alone",1
3915,328956122490863617,328956122490863617,2013-04-29,younq24,- I feel sorry for the girls I date.It is a struggle to keep my attention..I get bored quick,[],- I feel sorry for the girls I date.It is a struggle to keep my attention..I get bored quick,1
3918,316903494802087937,316903494802087937,2013-03-27,jimisola,I think the  will struggle to keep my attention. Plot is for movie not tv. How many times can Ryan be just too late?,['#thefollowing'],I think the #TheFollowing will struggle to keep my attention. Plot is for movie not tv. How many times can Ryan be just too late?,1
3919,313325249959702528,313325249959702528,2013-03-17,marcusskelton,I never struggle to start an essay. I just struggle to keep my attention to something which I really don't care about.,[],I never struggle to start an essay. I just struggle to keep my attention to something which I really don't care about.,1
3920,302601722793177088,302601722793177088,2013-02-16,pauletienne,It's a struggle trying to keep my attention. I feel bad for anyone who had to deal with me.. Attention span is less than 0,[],It's a struggle trying to keep my attention. I feel bad for anyone who had to deal with me.. Attention span is less than 0,1
3921,298436672931115009,298436672931115009,2013-02-04,mollyisclassy,If I fall asleep in class today I won't be surprised. William is gonna struggle to keep my attention.,[],If I fall asleep in class today I won't be surprised. William is gonna struggle to keep my attention.,1
3922,293284088134131712,293280667431751680,2013-01-21,milaikaa_,@charmz_rae I'm showing u lool gonna be a struggle to keep my eyes open and take notes let alone actually pay attention.,[],@charmz_rae I'm showing u lool gonna be a struggle to keep my eyes open and take notes let alone actually pay attention.,1
3923,279474812789878786,279474812789878786,2012-12-14,j_sutton15,I feel like it's a real struggle to keep my attention. My bad 😁,[],I feel like it's a real struggle to keep my attention. My bad 😁,1
3927,269183789027180546,269183789027180546,2012-11-15,joetbh_,I'm a celeb really does struggle to keep my attention,[],I'm a celeb really does struggle to keep my attention,1
3929,223436929637687298,223436929637687298,2012-07-12,hername_cierra,I get bored quick so people struggle trying to keep my attention.,[],I get bored quick so people struggle trying to keep my attention.,1
3930,223405098980741122,223405098980741122,2012-07-12,tellem_to_curve, over here i struggle in finding tht special woman to keep my attention,['#teamsingle'],#teamsingle over here i struggle in finding tht special woman to keep my attention,1
3935,160077019378483200,160077019378483200,2012-01-19,henrym24,"At this point of the day, I begin to struggle to keep my eyes open and pay attention ",['#sleepdeprived'],"At this point of the day, I begin to struggle to keep my eyes open and pay attention #sleepdeprived",1
3938,109816083929759744,109816083929759744,2011-09-03,prettyboyjuju32,I think I'm addict to cougars because women my age can't handle me mentally they struggle to keep my attention,[],I think I'm addict to cougars because women my age can't handle me mentally they struggle to keep my attention,1
3939,103679863730356225,103679863730356225,2011-08-17,jackiossassin,I have a short attention span...its a struggle to keep my interest in anything,[],I have a short attention span...its a struggle to keep my interest in anything,1
3940,95258298584023040,95258298584023040,2011-07-25,mzsimone86,I'M TELLING YOU ONCE YOU CATCH MY ATTENTION IT'S GONE BE A STRUGGLE TO KEEP MY ATTENTION!,[],I'M TELLING YOU ONCE YOU CATCH MY ATTENTION IT'S GONE BE A STRUGGLE TO KEEP MY ATTENTION!,1
3942,77766554451841024,77766554451841024,2011-06-06,whatthedang,Now join me as I valiantly struggle to keep my attention through the Microsoft e3 press conference.,[],Now join me as I valiantly struggle to keep my attention through the Microsoft e3 press conference.,1
3948,36523513464496128,36523513464496128,2011-02-12,loveorhateke," your friend is hotter... you will STRUGGLE to keep my attention, I guarantee you.",['#youcanthollaif'],"#youcanthollaif your friend is hotter... you will STRUGGLE to keep my attention, I guarantee you.",1
3949,36522673001472000,36522673001472000,2011-02-12,littlechugs," your friend is hotter... you will STRUGGLE to keep my attention, I guarantee you.",['#youcanthollaif'],"#youcanthollaif your friend is hotter... you will STRUGGLE to keep my attention, I guarantee you.",1
3952,1370760824229888,1370760824229888,2010-11-07,wgallagher,"I do think X Factor has a great set. Still struggle to keep my attention on it, but.",[],"I do think X Factor has a great set. Still struggle to keep my attention on it, but.",1
