,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target,,
0,"9,47616815194059E+017","9,47616815194059E+017",2018-01-01,livvycusack,7 years ago today me and my fam were dressed up dancing on the promenade deck of the cruise boat after 4 weeks travelling round the Caribbean   ,"['#depressed', '#canwegoback', '#newyearsevetherightway']",7 years ago today me and my fam were dressed up dancing on the promenade deck of the cruise boat after 4 weeks travelling round the Caribbean #depressed #canwegoback #newyearsevetherightway,1,,
8,"9,4758480826334E+017","9,4758480826334E+017",2017-12-31,phenomvp,"Jimmy G just keeps lighting it up 
",['#depressed'],"Jimmy G just keeps lighting it up 
#Depressed",1,,
9,"9,47583112736682E+017","9,47583112736682E+017",2017-12-31,kadiehelz,"I need help, but I don't know if anyone/anything CAN help me. So . I just want to give up. I'm so angry that my life has come to this point.",['#depressed'],"I need help, but I don't know if anyone/anything CAN help me. So #depressed. I just want to give up. I'm so angry that my life has come to this point.",1,,
11,"9,47571580413997E+017","9,47571580413997E+017",2017-12-31,ohheyitsliss_et,AND I have to be at work tomorrow at 10am ,['#depressed'],AND I have to be at work tomorrow at 10am #depressed,1,,
21,"9,47529940462957E+017","9,47529940462957E+017",2017-12-31,ungeliebtesm,"Kennst du diesen Moment, wenn du Züge, Autos, Springseile, Messer oder Brücken nicht mehr als Gegenstände wahrnimmst, sondern als Möglichkeit dich umzubringen?
",['#depressed'],"Kennst du diesen Moment, wenn du Züge, Autos, Springseile, Messer oder Brücken nicht mehr als Gegenstände wahrnimmst, sondern als Möglichkeit dich umzubringen?
#depressed",1,,
24,"9,47511410736664E+017","9,47511410736664E+017",2017-12-31,georgiamcax,Actually greeting at the fact I’m too unwell to go out tonight 😭😭😭😭😭😭😭😭😩😩😩😩😩😩 ,['#depressed'],Actually greeting at the fact I’m too unwell to go out tonight 😭😭😭😭😭😭😭😭😩😩😩😩😩😩 #depressed,1,,
27,"9,47504004287926E+017","9,47504004287926E+017",2017-12-31,solidsmark999,Im getting sick of everything from not being able to sleep to the constant pain and the loneliness i feel constantly im about to just say fuck it to everything!!! ,['#depressed'],Im getting sick of everything from not being able to sleep to the constant pain and the loneliness i feel constantly im about to just say fuck it to everything!!! #depressed,1,,
29,"9,47503603736044E+017","9,47503603736044E+017",2017-12-31,zambuddy2love,Finding someone to be  with this ,"['#depressed', '#newyear']",Finding someone to be #depressed with this #newyear,1,,
31,"9,47496868669305E+017","9,47496868669305E+017",2017-12-31,nomoscarydreams,"*sigh* a few more minutes......
.....a few more nightmare.

  ","['#depressed', '#on', '#newyear2018']","*sigh* a few more minutes......
.....a few more nightmare.

#Depressed #On #NewYear2018",1,,
32,"9,47496308876763E+017","9,47353042319565E+017",2017-12-31,hauntingnellie,listen to me I am still  but god I LOVEEEEEE HER,['#depressed'],listen to me I am still #depressed but god I LOVEEEEEE HER,1,,
42,"9,47434041372041E+017","9,47434041372041E+017",2017-12-31,arisu_ayumi,"can you remember how we both laughed and said we have so much in common? Do you remember when I told you ""the worst thing that could happen is leaving me""? 

   pic.twitter.com/QvL5JxdY5i","['#depressed', '#depression', '#alone']","can you remember how we both laughed and said we have so much in common? Do you remember when I told you ""the worst thing that could happen is leaving me""? 

#depressed #depression #alone pic.twitter.com/QvL5JxdY5i",1,,
49,"9,47369738061206E+017","9,47369738061206E+017",2017-12-31,jesusisaliveint,Life's turned out totally different than you thought_You're lost & alone_Desperately Need Help-JesusChristHeals&SavesASK   ,"['#lonely', '#depressed']",Life's turned out totally different than you thought_You're lost & alone_Desperately Need Help-JesusChristHeals&SavesASK  #lonely #depressed,1,,
50,"9,4736281238007E+017","9,4736281238007E+017",2017-12-31,oneversustwo,I'm a demon in the eyes of the Lord. :( And it makes me sad because I used to be religious beyond belief. So sad. ,['#depressed'],I'm a demon in the eyes of the Lord. :( And it makes me sad because I used to be religious beyond belief. So sad. #depressed,1,,
51,"9,47360652909146E+017","9,47360652909146E+017",2017-12-31,imilkies,"Lepas baca apa yang JN buat dekat instastory tu, aku pun terfikir juga. Ramai yg ingat  tu main - main hm 🥀",['#depressed'],"Lepas baca apa yang JN buat dekat instastory tu, aku pun terfikir juga. Ramai yg ingat #depressed tu main - main hm 🥀",1,,
53,"9,47347756363993E+017","9,47347756363993E+017",2017-12-31,nsomma_,Everyone is getting engaged and I’m like K when is it going to be my turn? ,['#depressed'],Everyone is getting engaged and I’m like K when is it going to be my turn? #depressed,1,,
57,"9,47324843996807E+017","9,47324843996807E+017",2017-12-31,patricksayss,Yung pagod na nakakamatay tapos pag uwi ko ng bahay sasalubungin ako ng panglalait dahil sa pumapangit kong mukha. 💔💔💔  ,"['#depressed', '#wannadie']",Yung pagod na nakakamatay tapos pag uwi ko ng bahay sasalubungin ako ng panglalait dahil sa pumapangit kong mukha. 💔💔💔 #depressed #wannadie,1,,
62,"9,47297750059663E+017","9,47297750059663E+017",2017-12-31,ethanstanton,I have a bad feeling I’m not going to be back at a good time for NYE in Hays ,['#depressed'],I have a bad feeling I’m not going to be back at a good time for NYE in Hays #depressed,1,,
71,"9,47268616952488E+017","9,47268616952488E+017",2017-12-31,aussiestu83,Nothing more depressing than taking down all the Christmas decorations. The house always looks so bare.  ,"['#sadsack', '#depressed']",Nothing more depressing than taking down all the Christmas decorations. The house always looks so bare. #SadSack #Depressed,1,,
73,"9,47245177936253E+017","9,47245177936253E+017",2017-12-31,antjoisce,I live with my dad as I'm disabled and  but he always puts his cats first. Feel completely worthless.,['#depressed'],I live with my dad as I'm disabled and #depressed but he always puts his cats first. Feel completely worthless.,1,,
83,"9,47199459208909E+017","9,47199459208909E+017",2017-12-30,ughh_who,It’s hard to stay strong when all you want to do is crumble.  😔,['#depressed'],It’s hard to stay strong when all you want to do is crumble. #depressed 😔,1,,
91,"9,4718193520128E+017","9,4718193520128E+017",2017-12-30,daidais_,Almost thirty still the same shit   and ,"['#beer', '#depressed', '#awesome']",Almost thirty still the same shit #beer #depressed and #awesome,1,,
93,"9,47178254837977E+017","9,47178254837977E+017",2017-12-30,cw_london,Back to normality and back to work for a night shift tomorrow night   ,"['#nhs', '#depressed', '#wishitcouldbechristmaseveryday']",Back to normality and back to work for a night shift tomorrow night #nhs #depressed #wishitcouldbechristmaseveryday,1,,
117,"9,47120076754473E+017","9,47120076754473E+017",2017-12-30,cheddarsgal,The reality of being homeless in  just became more realistic.   ,"['#depressed', '#worried', '#scared']",The reality of being homeless in #2018 just became more realistic. #depressed #worried #scared,1,,
