,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target
1269,1079814271096242176,1079814271096242176,2018-12-31,incupunk,I'm serious.. Sometimes you just need a friend..    pic.twitter.com/Ng7ApLxweJ,"['#beafriend', '#depression']",I'm serious.. Sometimes you just need a friend.. #beafriend #depression  pic.twitter.com/Ng7ApLxweJ,1
1277,1079811147254108160,1079811144850833410,2018-12-31,beastmorphersx,So far my  goals is to return to the  with a new membership to start working off not only my  but getting myself in shape. This also means that I need to start eating more healthier as well.,"['#january2019', '#ymca', '#depression']",So far my #January2019 goals is to return to the #YMCA with a new membership to start working off not only my #depression but getting myself in shape. This also means that I need to start eating more healthier as well.,1
1285,1079807093778120706,1079807093778120706,2018-12-31,beastmorphersx,As  comes closer to a close I want to continue to look forward to the future rather then live in the past like I have been for years due to my huge guilt over past actions including  attempt and .,"['#lastdayof2018', '#suicide', '#depression']",As #LastDayof2018 comes closer to a close I want to continue to look forward to the future rather then live in the past like I have been for years due to my huge guilt over past actions including #suicide attempt and #depression.,1
1290,1079806596925001728,1079806596925001728,2018-12-31,gedankengewitte,Fick Dich 2018!  2019 wird mein Jahr der Veränderung!           ,['#depression'],Fick Dich 2018!  2019 wird mein Jahr der Veränderung!           #depression,1
1293,1079805402143956992,1079805402143956992,2018-12-31,healthibadan,"Don't die in silence, Talk to someone today about those issues bothering you .... kills faster than AIDS",['#depression'],"Don't die in silence, Talk to someone today about those issues bothering you ....#Depression kills faster than AIDS",1
1295,1079804078606172160,1079804078606172160,2018-12-31,qhuessin,He thinks I want to cuddle. I really want to just not be sad so I'm going to sleep... ,['#depression'],He thinks I want to cuddle. I really want to just not be sad so I'm going to sleep... #depression,1
1307,1079798159067492353,1079798153317109762,2018-12-31,muzzymusing,"So, ending out this year, I'm as physically active & healthy as I've been in years (yay boxing & yoga). I'm addressing/working on my  &  more than I ever have. Due to talking, my marriage is stronger than it's been in a long while. 5/","['#depression', '#anxiety']","So, ending out this year, I'm as physically active & healthy as I've been in years (yay boxing & yoga). I'm addressing/working on my #depression & #anxiety more than I ever have. Due to talking, my marriage is stronger than it's been in a long while. 5/",1
1319,1079794846368440330,1079794814726688770,2018-12-31,marycat1719,"6/ I didn’t always have this support. Not growing up. Not in the early years of my marriage. Not bc my family didn’t care, or bc Jay didn’t love me. BC  lies... it tells you no one will ever understand or accept the “real” you.",['#depression'],"6/ I didn’t always have this support. Not growing up. Not in the early years of my marriage. Not bc my family didn’t care, or bc Jay didn’t love me. BC #depression lies... it tells you no one will ever understand or accept the “real” you.",1
1338,1079789816097751041,1079789816097751041,2018-12-31,ss_final,Try to keep up with social activities even if you don’t feel like it. It'll help with ,['#depression'],Try to keep up with social activities even if you don’t feel like it. It'll help with #depression,1
1347,1079787028840095747,1079787028840095747,2018-12-31,lowerdepression,"No one realizes how strong someone with  has to be just to do daily stuff like shower, brush hair or get out of bed.",['#depression'],"No one realizes how strong someone with #depression has to be just to do daily stuff like shower, brush hair or get out of bed.",1
