,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target
0,1079889364358975494,1079889364358975494,2019-01-01,depressediniowa,"I am afraid of death.

I don't want to die.

Yet this still does not motivate me to do things I enjoy.

Die happy, or die sad.

Either way, you die so what's the point?

  ","['#depression', '#depressed', '#depressedthoughts']","I am afraid of death.

I don't want to die.

Yet this still does not motivate me to do things I enjoy.

Die happy, or die sad.

Either way, you die so what's the point?

#depression #depressed #depressedthoughts",1
5,1079860284041449477,1079860284041449477,2019-01-01,drjameszender,"""Depression is so exhausting ... ""    pic.twitter.com/9CeqRiiZaY","['#depression', '#depressed']","""Depression is so exhausting ... "" #depression #depressed  pic.twitter.com/9CeqRiiZaY",1
7,1079851682069131267,1079851682069131267,2018-12-31,depressedbaking,"BTW, episode 2 is ready. It's been ready for 2 days. But I'm too  to upload it. Had an argument about a long standing issues in one of my relationships which ended in him saying ""maybe I'll never change so stop badgering me about it."" Basically, 'put up or shut up.'",['#depressed'],"BTW, episode 2 is ready. It's been ready for 2 days. But I'm too #depressed to upload it. Had an argument about a long standing issues in one of my relationships which ended in him saying ""maybe I'll never change so stop badgering me about it."" Basically, 'put up or shut up.'",1
11,1079818466146897920,1079818466146897920,2018-12-31,laulalama,I bought him cause he was as  as meee  pic.twitter.com/nY2f3yQpuD,['#depressed'],I bought him cause he was as #depressed as meee  pic.twitter.com/nY2f3yQpuD,1
13,1079807127219253248,1079807127219253248,2018-12-31,exme_2,"“Don’t believe me when I say everything is okey with me, I’m sad”
",['#depressed'],"“Don’t believe me when I say everything is okey with me, I’m sad”
#depressed",1
19,1079793058596687872,1079793058596687872,2018-12-31,cecile_philips,En 2019 j'espère juste ne pas sombrer et trouver la force de faire de mon mieux. Comme d'hab.   ,"['#depressed', '#monfilsmabataille', '#cestlaviepaslparadis']",En 2019 j'espère juste ne pas sombrer et trouver la force de faire de mon mieux. Comme d'hab. #depressed #MonFilsMaBataille #CestLaViePasLParadis,1
21,1079791218035490816,1079791218035490816,2018-12-31,a_man_duhh93," but I'll come out on top, because no person will steal my 👑  pic.twitter.com/2DKeBT5IxG",['#depressed'],"#depressed but I'll come out on top, because no person will steal my 👑  pic.twitter.com/2DKeBT5IxG",1
41,1079718666910916608,1079718666910916608,2018-12-31,lstrphlp,"Hindi marunong magbalot ng lumpia ang nanay ko, kakastresss!    HAHAHAHAHAHA","['#stress', '#depressed']","Hindi marunong magbalot ng lumpia ang nanay ko, kakastresss! #stress #depressed  HAHAHAHAHAHA",1
45,1079703729971056640,1079703729971056640,2018-12-31,mrsm11463930,"У вас было такое, что песня, которую вы только что нашли и слушаете, просто офигенная, и вы уже начинаете подпевать, но тут бах и весь второй куплет состоит из мата

бум сучка

  ","['#depressed', '#schooldays', '#music']","У вас было такое, что песня, которую вы только что нашли и слушаете, просто офигенная, и вы уже начинаете подпевать, но тут бах и весь второй куплет состоит из мата

бум сучка

#depressed #schooldays #music",1
47,1079697877646168064,1079697877646168064,2018-12-31,liamweekessoas,I am going to drink myself to fucking death  ,"['#depressed', '#notdepressed']",I am going to drink myself to fucking death #depressed #notdepressed,1
