,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,mod_text
0,1079889364358975494,1079889364358975494,1546300662000,2019-01-01,01:57:42,?aeianei? ?na GTB,1079169575017689090,depressediniowa,DepressedThoughts,,"I am afraid of death.

I don't want to die.

Yet this still does not motivate me to do things I enjoy.

Die happy, or die sad.

Either way, you die so what's the point?

#depression #depressed #depressedthoughts",[],[],[],1,0,1,"['#depression', '#depressed', '#depressedthoughts']",[],https://twitter.com/DepressedinIowa/status/1079889364358975494,False,,0,,,,,,,"[{'user_id': '1079169575017689090', 'username': 'DepressedinIowa'}]",,,,,"I am afraid of death.

I don't want to die.

Yet this still does not motivate me to do things I enjoy.

Die happy, or die sad.

Either way, you die so what's the point?

  "
5,1079860284041449477,1079860284041449477,1546293729000,2019-01-01,00:02:09,?aeianei? ?na GTB,3157905669,drjameszender,Dr. James F. Zender,,"""Depression is so exhausting ... "" #depression #depressed  pic.twitter.com/9CeqRiiZaY",[],[],['https://pbs.twimg.com/media/DvxvNGWXgAA5D3u.jpg'],1,4,4,"['#depression', '#depressed']",[],https://twitter.com/drjameszender/status/1079860284041449477,False,,0,,,,,,,"[{'user_id': '3157905669', 'username': 'drjameszender'}]",,,,,"""Depression is so exhausting ... ""    pic.twitter.com/9CeqRiiZaY"
7,1079851682069131267,1079851682069131267,1546291678000,2018-12-31,23:27:58,?aeianei? ?na GTB,1070957019761442816,depressedbaking,Depressed Baking,,"BTW, episode 2 is ready. It's been ready for 2 days. But I'm too #depressed to upload it. Had an argument about a long standing issues in one of my relationships which ended in him saying ""maybe I'll never change so stop badgering me about it."" Basically, 'put up or shut up.'",[],[],[],1,0,0,['#depressed'],[],https://twitter.com/DepressedBaking/status/1079851682069131267,False,,0,,,,,,,"[{'user_id': '1070957019761442816', 'username': 'DepressedBaking'}]",,,,,"BTW, episode 2 is ready. It's been ready for 2 days. But I'm too  to upload it. Had an argument about a long standing issues in one of my relationships which ended in him saying ""maybe I'll never change so stop badgering me about it."" Basically, 'put up or shut up.'"
11,1079818466146897920,1079818466146897920,1546283759000,2018-12-31,21:15:59,?aeianei? ?na GTB,1006201708530274304,laulalama,Laula Lama,,I bought him cause he was as #depressed as meee  pic.twitter.com/nY2f3yQpuD,[],[],['https://pbs.twimg.com/media/DvxJJ0gW0AA10Gk.jpg'],0,0,2,['#depressed'],[],https://twitter.com/LaulaLama/status/1079818466146897920,False,,0,,,,,,,"[{'user_id': '1006201708530274304', 'username': 'LaulaLama'}]",,,,,I bought him cause he was as  as meee  pic.twitter.com/nY2f3yQpuD
13,1079807127219253248,1079807127219253248,1546281055000,2018-12-31,20:30:55,?aeianei? ?na GTB,1029809521957523458,exme_2,A sky 🌨,,"“Don’t believe me when I say everything is okey with me, I’m sad”
#depressed",[],[],[],1,1,0,['#depressed'],[],https://twitter.com/exme_2/status/1079807127219253248,False,,0,,,,,,,"[{'user_id': '1029809521957523458', 'username': 'exme_2'}]",,,,,"“Don’t believe me when I say everything is okey with me, I’m sad”
"
19,1079793058596687872,1079793058596687872,1546277701000,2018-12-31,19:35:01,?aeianei? ?na GTB,740963811365138432,cecile_philips,Cécile Philips ⭐⭐,,En 2019 j'espère juste ne pas sombrer et trouver la force de faire de mon mieux. Comme d'hab. #depressed #MonFilsMaBataille #CestLaViePasLParadis,[],[],[],0,0,2,"['#depressed', '#monfilsmabataille', '#cestlaviepaslparadis']",[],https://twitter.com/Cecile_Philips/status/1079793058596687872,False,,0,,,,,,,"[{'user_id': '740963811365138432', 'username': 'Cecile_Philips'}]",,,,,En 2019 j'espère juste ne pas sombrer et trouver la force de faire de mon mieux. Comme d'hab.   
21,1079791218035490816,1079791218035490816,1546277262000,2018-12-31,19:27:42,?aeianei? ?na GTB,1006671296909004801,a_man_duhh93,Amanda,,"#depressed but I'll come out on top, because no person will steal my 👑  pic.twitter.com/2DKeBT5IxG",[],[],['https://pbs.twimg.com/media/DvwwWITWoAEDiU-.jpg'],0,0,1,['#depressed'],[],https://twitter.com/A_Man_Duhh93/status/1079791218035490816,False,,0,,,,,,,"[{'user_id': '1006671296909004801', 'username': 'A_Man_Duhh93'}]",,,,," but I'll come out on top, because no person will steal my 👑  pic.twitter.com/2DKeBT5IxG"
41,1079718666910916608,1079718666910916608,1546259965000,2018-12-31,14:39:25,?aeianei? ?na GTB,944412848419045376,lstrphlp,Philip ♏️,,"Hindi marunong magbalot ng lumpia ang nanay ko, kakastresss! #stress #depressed  HAHAHAHAHAHA",[],[],[],0,0,0,"['#stress', '#depressed']",[],https://twitter.com/lstrphlp/status/1079718666910916608,False,,0,,,,,,,"[{'user_id': '944412848419045376', 'username': 'lstrphlp'}]",,,,,"Hindi marunong magbalot ng lumpia ang nanay ko, kakastresss!    HAHAHAHAHAHA"
45,1079703729971056640,1079703729971056640,1546256403000,2018-12-31,13:40:03,?aeianei? ?na GTB,1054794980588486656,mrsm11463930,M&M's🍫🍕,,"У вас было такое, что песня, которую вы только что нашли и слушаете, просто офигенная, и вы уже начинаете подпевать, но тут бах и весь второй куплет состоит из мата

бум сучка

#depressed #schooldays #music",[],[],[],0,0,2,"['#depressed', '#schooldays', '#music']",[],https://twitter.com/MrsM11463930/status/1079703729971056640,False,,0,,,,,,,"[{'user_id': '1054794980588486656', 'username': 'MrsM11463930'}]",,,,,"У вас было такое, что песня, которую вы только что нашли и слушаете, просто офигенная, и вы уже начинаете подпевать, но тут бах и весь второй куплет состоит из мата

бум сучка

  "
47,1079697877646168064,1079697877646168064,1546255008000,2018-12-31,13:16:48,?aeianei? ?na GTB,1071912979086471168,liamweekessoas,Liam Weekes,,I am going to drink myself to fucking death #depressed #notdepressed,[],[],[],1,0,1,"['#depressed', '#notdepressed']",[],https://twitter.com/LiamWeekesSOAS/status/1079697877646168064,False,,0,,,,,,,"[{'user_id': '1071912979086471168', 'username': 'LiamWeekesSOAS'}]",,,,,I am going to drink myself to fucking death  
