,id,conversation_id,date,username,tweet,hashtags,tweet_original,label
0,"1,07869042170065E+018","1,07869032659474E+018",2018-12-28,isgcpa_,I almost repeat a subject. I lost interest in doing the things I used to love. I couldn't explain all the emotional breakdowns I've been through this year. There are just moments where the only thing that's left for me to do is pray and let God do the healing.,[],I almost repeat a subject. I lost interest in doing the things I used to love. I couldn't explain all the emotional breakdowns I've been through this year. There are just moments where the only thing that's left for me to do is pray and let God do the healing.,1
5,"1,07339350131074E+018","1,07339350131074E+018",2018-12-14,f0xd3ad,"Been getting a little lazy doing things. Lost interest in 3 projects already by today... Specifically since one of my friends have the possibility to be moving soon. Anyway, I'm gonna be focused on a few main projects, so don't worry about those.",[],"Been getting a little lazy doing things. Lost interest in 3 projects already by today... Specifically since one of my friends have the possibility to be moving soon. Anyway, I'm gonna be focused on a few main projects, so don't worry about those.",1
7,"1,07173937962896E+018","1,07173937962896E+018",2018-12-09,hoxeokie,ive been feeling a lil bit down lately because i realised that i dont enjoy doing some things??? like ive jst lost interest in so many things and its sad because i remember it made me so Happy but yea anyway thats depression for ya i guess,[],ive been feeling a lil bit down lately because i realised that i dont enjoy doing some things??? like ive jst lost interest in so many things and its sad because i remember it made me so Happy but yea anyway thats depression for ya i guess,1
8,"1,071405706602E+018","1,071405706602E+018",2018-12-08,babylmdying,How am I supposed to answer depression quiz questions where they ask if you've lost interest in things when like.... I'm seriously not doing anything... like when they ask if you can't concentrate... I'm like.... I have nothing to concentrate on????,[],How am I supposed to answer depression quiz questions where they ask if you've lost interest in things when like.... I'm seriously not doing anything... like when they ask if you can't concentrate... I'm like.... I have nothing to concentrate on????,1
9,"1,07104987970147E+018","1,07104987970147E+018",2018-12-07,jjin_nie,I never knew I can lost interest in things I used to love doing.,[],I never knew I can lost interest in things I used to love doing.,1
10,"1,07095485378499E+018","1,07095485378499E+018",2018-12-07,papitrey__,"I've been doing me and focusing on myself. In October I had a wake up call and I started to be more focused. I've lost a lot of interest in a lot of things up to this day, but I know it's for my own good.",[],"I've been doing me and focusing on myself. In October I had a wake up call and I started to be more focused. I've lost a lot of interest in a lot of things up to this day, but I know it's for my own good.",1
12,"1,07059973124678E+018","1,0705997259493E+018",2018-12-06,crownedlemur,"So far this med has literally been a life saver, I can laugh, I can smile and days are no longer a drag all the time. I lost my interest in doing things but that should come back very soon. All in all, I'm doing better!!",[],"So far this med has literally been a life saver, I can laugh, I can smile and days are no longer a drag all the time. I lost my interest in doing things but that should come back very soon. All in all, I'm doing better!!",1
13,"1,07041720974539E+018","1,07041702982226E+018",2018-12-05,zariastone,I lost interest in things I truly loved doing and enjoyed,[],I lost interest in things I truly loved doing and enjoyed,1
15,"1,0696024535895E+018","1,0696024535895E+018",2018-12-03,neutrallycynic,Im really sorry for being inactive and going on and off in this account. Work just...took all my time and motivation to do the things i like doing . I honestly lost all interest in like 90% of what i used to love. It's so fucking shitty of me im really sorry,[],Im really sorry for being inactive and going on and off in this account. Work just...took all my time and motivation to do the things i like doing . I honestly lost all interest in like 90% of what i used to love. It's so fucking shitty of me im really sorry,1
16,"1,06907335210976E+018","1,06907335210976E+018",2018-12-02,cassiecrawfordx,I've been so sad and bored lately SO tomorrow after work I'm going to buy a fat canvas and start painting again because I need to start doing the things that I've lost interest in because depression is a bitch,[],I've been so sad and bored lately SO tomorrow after work I'm going to buy a fat canvas and start painting again because I need to start doing the things that I've lost interest in because depression is a bitch,1
17,"1,06843590392682E+018","1,06843590392682E+018",2018-11-30,garciamarisol10,Sorry for the sining in the rain and film spam. this year I genuinely lost interest in these types of things that would bring me so much happiness and felt so lost as to why they stopped doing so but I’m finally falling in love again with all these things I’m glad to have them back,[],Sorry for the sining in the rain and film spam. this year I genuinely lost interest in these types of things that would bring me so much happiness and felt so lost as to why they stopped doing so but I'm finally falling in love again with all these things π’glad to have them back,1
19,"1,06496772720553E+018","1,06496772720553E+018",2018-11-20,imaojord,Just lost interest in 99% of things in life and want to cut ties with everyone close to me other than family before I end up doing something stupid,[],Just lost interest in 99% of things in life and want to cut ties with everyone close to me other than family before I end up doing something stupid,1
20,"1,06489876195931E+018","1,06486367941654E+018",2018-11-20,stilldoitforyou,"18. favorite relaxing hobby? i used to write, read, and draw a lot... i’ve kinda lost interest in doing a lot of things i enjoy so i don’t really do much of that anymore so lately i just put a game (mostly sims 4) on and zone out",[],"18. favorite relaxing hobby? i used to write, read, and draw a lot... i've kinda lost interest in doing a lot of things i enjoy so i don't really do much of that anymore so lately i just put a game (mostly sims 4) on and zone out",1
23,"1,06374519150761E+018","1,06374519150761E+018",2018-11-17,jay_brooks91,Please please please people don’t be offended if I don’t want to do certain things any more. I’ve lost interest in doing the same stuff I’ve done for the last 10 years of my life,[],Please please please people don't be offended if I don't want to do certain things any more. I've lost interest in doing the same stuff I've done for the last 10 years of my life,1
24,"1,06369629215573E+018","1,06369629215573E+018",2018-11-17,tununu3,"I lost interest in the gym for sometime now, the one thing I enjoy the most. Overwhelming feeling of guilty, how do I just continue with my life doing things I enjoy when my friend’s life was just cut off in front of me? Her dad  forcing me to go gym today.",[],"I lost interest in the gym for sometime now, the one thing I enjoy the most. Overwhelming feeling of guilty, how do I just continue with my life doing things I enjoy when my friend's life was just cut off in front of me? Her dad  forcing me to go gym today.",1
25,"1,06309569300974E+018","1,06309500870059E+018",2018-11-15,scergyboi,"I’ve just been in this downward spiral since I've been told I got the job I had applied to, and I've lost interest in doing the things I love doing in the last couple of days. I would just suck it up and deal with my bullshit, but I don't want to start a stream only to have it...",[],"I've just been in this downward spiral since I've been told I got the job I had applied to, and I've lost interest in doing the things I love doing in the last couple of days. I would just suck it up and deal with my bullshit, but I don't want to start a stream only to have it...",1
26,"1,06280405604791E+018","1,06280168594322E+018",2018-11-14,_cherrieco,"i lost so many things while doing this chapter and watching it being done, including my enthusiasm, my interest in scanlations and i've come to dislike some of the members of the team. i can't get my mind sort out what is the point of doing this.",[],"i lost so many things while doing this chapter and watching it being done, including my enthusiasm, my interest in scanlations and i've come to dislike some of the members of the team. i can't get my mind sort out what is the point of doing this.",1
