,id,conversation_id,date,username,tweet,hashtags,tweet_original,label
0,1078690421700648960,1078690326594740224,2018-12-28,isgcpa_,I almost repeat a subject. I lost interest in doing the things I used to love. I couldn't explain all the emotional breakdowns I've been through this year. There are just moments where the only thing that's left for me to do is pray and let God do the healing.,[],I almost repeat a subject. I lost interest in doing the things I used to love. I couldn't explain all the emotional breakdowns I've been through this year. There are just moments where the only thing that's left for me to do is pray and let God do the healing.,1
2,1075739594530975744,1075739594530975744,2018-12-20,tonynoland,"In November, I wrote 54,000 words for . It's a good start on a first draft of a promising novel.

I have barely touched it since Nov 30. Not because I lost interest, but because I've spent December doing all the things I set aside in November to do NaNo.",['#nanowrimo2018'],"In November, I wrote 54,000 words for #nanowrimo2018. It's a good start on a first draft of a promising novel.

I have barely touched it since Nov 30. Not because I lost interest, but because I've spent December doing all the things I set aside in November to do NaNo.",1
5,1073393501310738432,1073393501310738432,2018-12-14,f0xd3ad,"Been getting a little lazy doing things. Lost interest in 3 projects already by today... Specifically since one of my friends have the possibility to be moving soon. Anyway, I'm gonna be focused on a few main projects, so don't worry about those.",[],"Been getting a little lazy doing things. Lost interest in 3 projects already by today... Specifically since one of my friends have the possibility to be moving soon. Anyway, I'm gonna be focused on a few main projects, so don't worry about those.",1
7,1071739379628957697,1071739379628957697,2018-12-09,hoxeokie,ive been feeling a lil bit down lately because i realised that i dont enjoy doing some things??? like ive jst lost interest in so many things and its sad because i remember it made me so Happy but yea anyway thats depression for ya i guess,[],ive been feeling a lil bit down lately because i realised that i dont enjoy doing some things??? like ive jst lost interest in so many things and its sad because i remember it made me so Happy but yea anyway thats depression for ya i guess,1
8,1071405706602000384,1071405706602000384,2018-12-08,babylmdying,How am I supposed to answer depression quiz questions where they ask if you've lost interest in things when like.... I'm seriously not doing anything... like when they ask if you can't concentrate... I'm like.... I have nothing to concentrate on????,[],How am I supposed to answer depression quiz questions where they ask if you've lost interest in things when like.... I'm seriously not doing anything... like when they ask if you can't concentrate... I'm like.... I have nothing to concentrate on????,1
9,1071049879701471232,1071049879701471232,2018-12-07,jjin_nie,I never knew I can lost interest in things I used to love doing.,[],I never knew I can lost interest in things I used to love doing.,1
10,1070954853784989696,1070954853784989696,2018-12-07,papitrey__,"I've been doing me and focusing on myself. In October I had a wake up call and I started to be more focused. I've lost a lot of interest in a lot of things up to this day, but I know it's for my own good.",[],"I've been doing me and focusing on myself. In October I had a wake up call and I started to be more focused. I've lost a lot of interest in a lot of things up to this day, but I know it's for my own good.",1
11,1070698173004435457,1069974496134684672,2018-12-06,arabella_vidal,"Some things do come with instinct. Then there's star power, combined with ability, that let's her overcome the inanity of the script. Heady has been doing far longer, with better projects in her past, than Clarke.  I also felt,round about season 4/5 that Clarke had lost interest.",[],"Some things do come with instinct. Then there's star power, combined with ability, that let's her overcome the inanity of the script. Heady has been doing far longer, with better projects in her past, than Clarke.  I also felt,round about season 4/5 that Clarke had lost interest.",1
12,1070599731246784512,1070599725949304832,2018-12-06,crownedlemur,"So far this med has literally been a life saver, I can laugh, I can smile and days are no longer a drag all the time. I lost my interest in doing things but that should come back very soon. All in all, I'm doing better!!",[],"So far this med has literally been a life saver, I can laugh, I can smile and days are no longer a drag all the time. I lost my interest in doing things but that should come back very soon. All in all, I'm doing better!!",1
13,1070417209745387525,1070417029822263296,2018-12-05,zariastone,I lost interest in things I truly loved doing and enjoyed,[],I lost interest in things I truly loved doing and enjoyed,1
15,1069602453589499909,1069602453589499909,2018-12-03,neutrallycynic,Im really sorry for being inactive and going on and off in this account. Work just...took all my time and motivation to do the things i like doing . I honestly lost all interest in like 90% of what i used to love. It's so fucking shitty of me im really sorry,[],Im really sorry for being inactive and going on and off in this account. Work just...took all my time and motivation to do the things i like doing . I honestly lost all interest in like 90% of what i used to love. It's so fucking shitty of me im really sorry,1
16,1069073352109760512,1069073352109760512,2018-12-02,cassiecrawfordx,I've been so sad and bored lately SO tomorrow after work I'm going to buy a fat canvas and start painting again because I need to start doing the things that I've lost interest in because depression is a bitch,[],I've been so sad and bored lately SO tomorrow after work I'm going to buy a fat canvas and start painting again because I need to start doing the things that I've lost interest in because depression is a bitch,1
17,1068435903926816769,1068435903926816769,2018-11-30,garciamarisol10,Sorry for the sining in the rain and film spam. this year I genuinely lost interest in these types of things that would bring me so much happiness and felt so lost as to why they stopped doing so but I’m finally falling in love again with all these things 💜glad to have them back,[],Sorry for the sining in the rain and film spam. this year I genuinely lost interest in these types of things that would bring me so much happiness and felt so lost as to why they stopped doing so but I’m finally falling in love again with all these things 💜glad to have them back,1
19,1064967727205531648,1064967727205531648,2018-11-20,imaojord,Just lost interest in 99% of things in life and want to cut ties with everyone close to me other than family before I end up doing something stupid,[],Just lost interest in 99% of things in life and want to cut ties with everyone close to me other than family before I end up doing something stupid,1
20,1064898761959313409,1064863679416537088,2018-11-20,stilldoitforyou,"18. favorite relaxing hobby? i used to write, read, and draw a lot... i’ve kinda lost interest in doing a lot of things i enjoy so i don’t really do much of that anymore so lately i just put a game (mostly sims 4) on and zone out",[],"18. favorite relaxing hobby? i used to write, read, and draw a lot... i’ve kinda lost interest in doing a lot of things i enjoy so i don’t really do much of that anymore so lately i just put a game (mostly sims 4) on and zone out",1
23,1063745191507607552,1063745191507607552,2018-11-17,jay_brooks91,Please please please people don’t be offended if I don’t want to do certain things any more. I’ve lost interest in doing the same stuff I’ve done for the last 10 years of my life,[],Please please please people don’t be offended if I don’t want to do certain things any more. I’ve lost interest in doing the same stuff I’ve done for the last 10 years of my life,1
24,1063696292155727878,1063696292155727878,2018-11-17,tununu3,"I lost interest in the gym for sometime now, the one thing I enjoy the most. Overwhelming feeling of guilty, how do I just continue with my life doing things I enjoy when my friend’s life was just cut off in front of me? Her dad  forcing me to go gym today.",[],"I lost interest in the gym for sometime now, the one thing I enjoy the most. Overwhelming feeling of guilty, how do I just continue with my life doing things I enjoy when my friend’s life was just cut off in front of me? Her dad  forcing me to go gym today.",1
25,1063095693009735680,1063095008700588032,2018-11-15,scergyboi,"I’ve just been in this downward spiral since I’ve been told I got the job I had applied to, and I’ve lost interest in doing the things I love doing in the last couple of days. I would just suck it up and deal with my bullshit, but I don’t want to start a stream only to have it...",[],"I’ve just been in this downward spiral since I’ve been told I got the job I had applied to, and I’ve lost interest in doing the things I love doing in the last couple of days. I would just suck it up and deal with my bullshit, but I don’t want to start a stream only to have it...",1
26,1062804056047906816,1062801685943222272,2018-11-14,_cherrieco,"i lost so many things while doing this chapter and watching it being done, including my enthusiasm, my interest in scanlations and i've come to dislike some of the members of the team. i can't get my mind sort out what is the point of doing this.",[],"i lost so many things while doing this chapter and watching it being done, including my enthusiasm, my interest in scanlations and i've come to dislike some of the members of the team. i can't get my mind sort out what is the point of doing this.",1
27,1061268071330013184,1061268071330013184,2018-11-10,ladysimmer94,"I have completely lost interest in so many things recently, including wearing makeup which I used to love doing. Now I cant even sit in front of the mirror applying mascara without feeling upset",[],"I have completely lost interest in so many things recently, including wearing makeup which I used to love doing. Now I cant even sit in front of the mirror applying mascara without feeling upset",1
28,1061170917336735744,1061170917336735744,2018-11-10,thequaxx,"I've been feeling strangely empty recently. Over the years I lost interest in a lot of things and gradually just focused on a few. I think that now that my skill boost in mania is over and my piano isn't really progressing, there's not much I feel like doing. I hope this passes",[],"I've been feeling strangely empty recently. Over the years I lost interest in a lot of things and gradually just focused on a few. I think that now that my skill boost in mania is over and my piano isn't really progressing, there's not much I feel like doing. I hope this passes",1
29,1061100679568097280,1061100209097199617,2018-11-10,beckedm,"burnout on different things happened at different times, luckily, so I think I was usually doing something. But for example, after biking really seriously for the first 3 years of HS, just lost interest. Didn't bike in college. Love it again now, thankfully!",[],"burnout on different things happened at different times, luckily, so I think I was usually doing something. But for example, after biking really seriously for the first 3 years of HS, just lost interest. Didn't bike in college. Love it again now, thankfully!",1
30,1059073529595883520,1059073529595883520,2018-11-04,itsmewhodis,"People telling other people to never stop doing what you love,it is your passion etc.,then there's me,who've lost interest in things and not love things the same way as before.There's me who doesn't have passion for anything. 

So I often ask myself,""What does that make me then?""",[],"People telling other people to never stop doing what you love,it is your passion etc.,then there's me,who've lost interest in things and not love things the same way as before.There's me who doesn't have passion for anything. 

So I often ask myself,""What does that make me then?""",1
31,1058338085065449472,1058338085065449472,2018-11-02,itsanaura,"once I got to college, I lost interest in so many things I used to love doing. like I don’t have enough time to enjoy the things I used to love 🥺",[],"once I got to college, I lost interest in so many things I used to love doing. like I don’t have enough time to enjoy the things I used to love 🥺",1
32,1058169153100636167,1058169153100636167,2018-11-02,hbzayy,"I’m single rn cuz mfs lost their interest in doin good things or actually caring for a mf💯🗣.....
On the other hand😂That’s not gon stop me from doing what I do🤪💦",[],"I’m single rn cuz mfs lost their interest in doin good things or actually caring for a mf💯🗣.....
On the other hand😂That’s not gon stop me from doing what I do🤪💦",1
33,1057027716128620544,1057027716128620544,2018-10-29,zippiesteve,Think I have finally lost interest in my one time favourite show The Walking Dead. Find myself doing other things now whle its on and missing large chunks of the Ahem.....plot!,[],Think I have finally lost interest in my one time favourite show The Walking Dead. Find myself doing other things now whle its on and missing large chunks of the Ahem.....plot!,1
