,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target
1251,1072010148695195649,1072010148695195649,2018-12-10,lvepjm,why do i have so much trouble falling asleep :(,[],why do i have so much trouble falling asleep :(,1
1252,1071900652312375298,1071900652312375298,2018-12-10,goroakch,it's storming outside so I'll definitely have trouble falling asleep orzz,[],it's storming outside so I'll definitely have trouble falling asleep orzz,1
1257,1071338791456014337,1071338791456014337,2018-12-08,cischan1,"  
You said the sun would shine on US again. Another daybreak, brother. I still have trouble falling asleep…  pic.twitter.com/tGpy6KuxQ0","['#avengersendgame', '#thor']","#AvengersEndgame #Thor 
You said the sun would shine on US again. Another daybreak, brother. I still have trouble falling asleep…  pic.twitter.com/tGpy6KuxQ0",1
1258,1071305232984895488,1071305232984895488,2018-12-08,kaespzaa,"Shouldn’t have slept earlier, now I’m gonna have trouble falling asleep",[],"Shouldn’t have slept earlier, now I’m gonna have trouble falling asleep",1
1259,1071195387992645632,1071195387992645632,2018-12-08,yukuyong,I usually listen to one hour loops of Knock On or Try Again when I have trouble falling asleep  pic.twitter.com/zY8lg9fJY6,[],I usually listen to one hour loops of Knock On or Try Again when I have trouble falling asleep  pic.twitter.com/zY8lg9fJY6,1
1261,1071162247324540928,1071162040381792256,2018-12-07,midwestcryptid,im actually falling asleep im no joke having trouble keeping my eyes open but i didnt have time to get coffee and if i did thatd be a bad idea cuz i work early tomorrow and coffee works too well on me so i wouldnt be able to sleep tonight. much to think about,[],im actually falling asleep im no joke having trouble keeping my eyes open but i didnt have time to get coffee and if i did thatd be a bad idea cuz i work early tomorrow and coffee works too well on me so i wouldnt be able to sleep tonight. much to think about,1
1264,1070976169762156544,1070976169762156544,2018-12-07,jesschekov,"are there any mythological/folklore/ancient religious ""deities"" of/for sleep???? if so how do I utilize my secular ~spiritual practice~ to ask for their help??????

I generally have insomnia, a lot of trouble falling asleep and dont get deep restful sleep once I do",[],"are there any mythological/folklore/ancient religious ""deities"" of/for sleep???? if so how do I utilize my secular ~spiritual practice~ to ask for their help??????

I generally have insomnia, a lot of trouble falling asleep and dont get deep restful sleep once I do",1
1265,1070924130759766016,1070924130759766016,2018-12-07,ggukiefied,"anyways i told my psych i have trouble falling asleep so she said shes gonna change my meds and shes like ""what u want us to do"" and im like uhhh help me sleep??  pic.twitter.com/5OAyl3M7L5",[],"anyways i told my psych i have trouble falling asleep so she said shes gonna change my meds and shes like ""what u want us to do"" and im like uhhh help me sleep??  pic.twitter.com/5OAyl3M7L5",1
1266,1070911622015803393,1070911622015803393,2018-12-07,canonlotobedra,"About tonight
- SonicFox is a legend
- I might have trouble falling asleep due to Smash anxiety. It's gonna be hard to outshine that DLC.",[],"About tonight
- SonicFox is a legend
- I might have trouble falling asleep due to Smash anxiety. It's gonna be hard to outshine that DLC.",1
1268,1070898804197605377,1070898804197605377,2018-12-07,thehazardsolove,"podcast rec: if you, like me, sometimes have trouble falling asleep i highly endorse ""nothing much happens"" it's very chill bedtime stories about things like meeting friends at a tree lighting, relaxing at home, etc. it's very soothing",[],"podcast rec: if you, like me, sometimes have trouble falling asleep i highly endorse ""nothing much happens"" it's very chill bedtime stories about things like meeting friends at a tree lighting, relaxing at home, etc. it's very soothing",1
1272,1070719234378993665,1070719234378993665,2018-12-06,halestotheeffno,"Me: 
Help, I have trouble falling asleep at night.  

Common sense and science: 
Turn off the TV, put down your phone, stop drinking 5 cups of coffee...

Me:  pic.twitter.com/3wYrgUeewt",[],"Me: 
Help, I have trouble falling asleep at night.  

Common sense and science: 
Turn off the TV, put down your phone, stop drinking 5 cups of coffee...

Me:  pic.twitter.com/3wYrgUeewt",1
1274,1070677773281300480,1070677773281300480,2018-12-06,_ellyg_,I used to have trouble falling asleep at the beginning of the year so I made a sleep playlist on Spotify and it polluted my Spotify Top Songs of 2018 🙃🙃🙃,[],I used to have trouble falling asleep at the beginning of the year so I made a sleep playlist on Spotify and it polluted my Spotify Top Songs of 2018 🙃🙃🙃,1
1275,1070643481662668800,1070643481662668800,2018-12-06,demonladys,"i have to get up in an hour and im having trouble falling back asleep, should i just get up now",[],"i have to get up in an hour and im having trouble falling back asleep, should i just get up now",1
1276,1070577309814587392,1070577309814587392,2018-12-06,shxniah_,I have so much trouble falling asleep bc my brain never stops,[],I have so much trouble falling asleep bc my brain never stops,1
1277,1070576367446736896,1070576367446736896,2018-12-06,bigbossofthegym,I never fail to have trouble falling asleep before a big final,[],I never fail to have trouble falling asleep before a big final,1
1279,1070443519041552384,1070443519041552384,2018-12-06,merepine_,i wanted to make a whiny tweet about how i have trouble falling asleep again bc im so on edge but idk what to say. good night,[],i wanted to make a whiny tweet about how i have trouble falling asleep again bc im so on edge but idk what to say. good night,1
1281,1070401646923001866,1070401646923001866,2018-12-05,peterdraws1,Sometimes I have trouble falling asleep when I lay down in bed because I get too excited about how comfy I am,[],Sometimes I have trouble falling asleep when I lay down in bed because I get too excited about how comfy I am,1
1282,1070218439535587328,1070218439535587328,2018-12-05,poliphonix,wow i’m so freaking tired rn i can’t wait to hop into bed so i can finally start wasting time until i’m not tired anymore and inevitably have trouble falling asleep so that i can wakeup just in time to be tired enough to actually fall asleep in the first place,[],wow i’m so freaking tired rn i can’t wait to hop into bed so i can finally start wasting time until i’m not tired anymore and inevitably have trouble falling asleep so that i can wakeup just in time to be tired enough to actually fall asleep in the first place,1
1285,1070138493576171520,1070138490162110464,2018-12-05,sweetmarikim,"My recent bedtime reading on Audible, 'Lab Girl' narrated by Hope Jahren herself. Her warm, soft voice comforts me so well, the only trouble I have now is I kept falling asleep so fast.  pic.twitter.com/JGganHzlY8",[],"My recent bedtime reading on Audible, 'Lab Girl' narrated by Hope Jahren herself. Her warm, soft voice comforts me so well, the only trouble I have now is I kept falling asleep so fast.  pic.twitter.com/JGganHzlY8",1
1287,1070134031885524992,1070134031885524992,2018-12-05,eplesh,Literally everyone is getting hyped for smash. I am so excited to see where Ultimate takes us. I am so excited I actually have trouble falling asleep ...,[],Literally everyone is getting hyped for smash. I am so excited to see where Ultimate takes us. I am so excited I actually have trouble falling asleep ...,1
1288,1070042342218846208,1070042342218846208,2018-12-04,lyssaeds,i wish i didn’t have so much trouble falling asleep. i need a strict bedtime cause i can’t be trusted after midnight 🙄,[],i wish i didn’t have so much trouble falling asleep. i need a strict bedtime cause i can’t be trusted after midnight 🙄,1
1289,1070027254221152256,1070017950017568775,2018-12-04,sadistickuma,I have trouble falling asleep. But once I do manage I'm ok. Haha the hat is for a doll for a friend,[],I have trouble falling asleep. But once I do manage I'm ok. Haha the hat is for a doll for a friend,1
1291,1070014996187357189,1070014996187357189,2018-12-04,shortysbrain,"I've heard people say that ""you shouldn't work in your room or on your bed because then your brain doesn't associate those places with sleep, therefore you'll have trouble falling asleep""

But, I do both of those things all the time and they don't affect my sleep at all. For me,",[],"I've heard people say that ""you shouldn't work in your room or on your bed because then your brain doesn't associate those places with sleep, therefore you'll have trouble falling asleep""

But, I do both of those things all the time and they don't affect my sleep at all. For me,",1
1292,1070012602305015809,1070011808562393088,2018-12-04,rifandayd,The busiest month of the year and suddenly I have trouble falling asleep. Again.,[],The busiest month of the year and suddenly I have trouble falling asleep. Again.,1
1294,1069983455298097152,1069983451313553408,2018-12-04,shiroterra,"[Day 16] probably no stream today, have had trouble falling asleep earlier, hardly slept now and woke up because stomach pains and back pains and knee pains, we shall see how i feel in about 2 hours",[],"[Day 16] probably no stream today, have had trouble falling asleep earlier, hardly slept now and woke up because stomach pains and back pains and knee pains, we shall see how i feel in about 2 hours",1
1295,1069879502191288321,1069879502191288321,2018-12-04,_janellyy1,Why do I always have trouble falling asleep I’m tired😣,[],Why do I always have trouble falling asleep I’m tired😣,1
1296,1069875027175190529,1069875027175190529,2018-12-04,_lrmj,Been having trouble falling asleep lately and honestly if I don't get my shit together soon ima have to throw hands with myself,[],Been having trouble falling asleep lately and honestly if I don't get my shit together soon ima have to throw hands with myself,1
1297,1069813845525479424,1069813835790467072,2018-12-04,cavetown_socks,"Okay, on to depression. I have trouble falling asleep at night because of my fear of death. And I know I shouldn’t let Dema control me like Nico and the Niners says, but It’s not that easy. My friend has a similar problem, we both have trouble sleeping.",[],"Okay, on to depression. I have trouble falling asleep at night because of my fear of death. And I know I shouldn’t let Dema control me like Nico and the Niners says, but It’s not that easy. My friend has a similar problem, we both have trouble sleeping.",1
1311,1075682319984250880,1075682316901445632,2018-12-20,dolari,"It would explain  the blood sugar issues, and why I have so much trouble staying awake in  the day.  And even more trouble staying asleep at night.",[],"It would explain  the blood sugar issues, and why I have so much trouble staying awake in  the day.  And even more trouble staying asleep at night.",1
1314,1075224726883233797,1075224726883233797,2018-12-19,thaspencyy6,"If you have anxiety or trouble going to sleep/staying asleep at night, I highly recommend a hypnoser weighted blanket.. it has helped me so so much🙌🏼",[],"If you have anxiety or trouble going to sleep/staying asleep at night, I highly recommend a hypnoser weighted blanket.. it has helped me so so much🙌🏼",1
1316,1075037405240004608,1075037405240004608,2018-12-18,emaluax,I’m not really into astrology but lately I’ve been having bad dreams and I have trouble staying asleep so is there something going on with the stars or ??????,[],I’m not really into astrology but lately I’ve been having bad dreams and I have trouble staying asleep so is there something going on with the stars or ??????,1
1319,1073932909168361472,1073932909168361472,2018-12-15,balakboa,I hate being an adult cus that means not being able to fall back asleep once I’ve woken up. No wonder adults have trouble staying asleep for eight hours.,[],I hate being an adult cus that means not being able to fall back asleep once I’ve woken up. No wonder adults have trouble staying asleep for eight hours.,1
1322,1073613962942517248,1073613962942517248,2018-12-14,kaigudroid,I always have trouble staying asleep so I took Diphenhydramine before bed and now I have what my boss calls a “benadryl hangover” 😓😓,[],I always have trouble staying asleep so I took Diphenhydramine before bed and now I have what my boss calls a “benadryl hangover” 😓😓,1
1323,1073006614456586240,1073006614456586240,2018-12-13,cybernekosvrc,Just to let you know if I seem tired and not doing as much its because I am still kind of sick and been having trouble staying asleep lately. Like I have dreams that have so much going on in them I will wake up every 2 to 3 hours <3,[],Just to let you know if I seem tired and not doing as much its because I am still kind of sick and been having trouble staying asleep lately. Like I have dreams that have so much going on in them I will wake up every 2 to 3 hours <3,1
1327,1071350571318284288,1071350571318284288,2018-12-08,dormstreams,I've been having immense trouble sleeping through the night lately. It's like I sleep 4 hours then am awake 4 hours. Anybody have any tips for staying asleep?  pic.twitter.com/mrd8kdlUXt,[],I've been having immense trouble sleeping through the night lately. It's like I sleep 4 hours then am awake 4 hours. Anybody have any tips for staying asleep?  pic.twitter.com/mrd8kdlUXt,1
1328,1071004797145399301,1071004797145399301,2018-12-07,luv4dink,I have no trouble staying asleep on the weekends but on weekdays I wake up in the middle of the night and can’t fall back asleep...,[],I have no trouble staying asleep on the weekends but on weekdays I wake up in the middle of the night and can’t fall back asleep...,1
1331,1069977623504265216,1069977623504265216,2018-12-04,eil_111,"I have trouble sleeping I have difficulty staying asleep, I have a problem basically in closing my eyes for a while.",[],"I have trouble sleeping I have difficulty staying asleep, I have a problem basically in closing my eyes for a while.",1
1332,1069896866681286656,1069896866681286656,2018-12-04,realrundenirun,Little baby is having trouble staying asleep tonight so I'll have to stream later on in the day than usual.,[],Little baby is having trouble staying asleep tonight so I'll have to stream later on in the day than usual.,1
