,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target
0,947616815194058752,947616815194058752,2018-01-01,livvycusack,7 years ago today me and my fam were dressed up dancing on the promenade deck of the cruise boat after 4 weeks travelling round the Caribbean   ,"['#depressed', '#canwegoback', '#newyearsevetherightway']",7 years ago today me and my fam were dressed up dancing on the promenade deck of the cruise boat after 4 weeks travelling round the Caribbean #depressed #canwegoback #newyearsevetherightway,1
8,947584808263340032,947584808263340032,2017-12-31,phenomvp,"Jimmy G just keeps lighting it up 
",['#depressed'],"Jimmy G just keeps lighting it up 
#Depressed",1
9,947583112736681984,947583112736681984,2017-12-31,kadiehelz,"I need help, but I don't know if anyone/anything CAN help me. So . I just want to give up. I'm so angry that my life has come to this point.",['#depressed'],"I need help, but I don't know if anyone/anything CAN help me. So #depressed. I just want to give up. I'm so angry that my life has come to this point.",1
11,947571580413997056,947571580413997056,2017-12-31,ohheyitsliss_et,AND I have to be at work tomorrow at 10am ,['#depressed'],AND I have to be at work tomorrow at 10am #depressed,1
21,947529940462956545,947529940462956545,2017-12-31,ungeliebtesm,"Kennst du diesen Moment, wenn du Züge, Autos, Springseile, Messer oder Brücken nicht mehr als Gegenstände wahrnimmst, sondern als Möglichkeit dich umzubringen?
",['#depressed'],"Kennst du diesen Moment, wenn du Züge, Autos, Springseile, Messer oder Brücken nicht mehr als Gegenstände wahrnimmst, sondern als Möglichkeit dich umzubringen?
#depressed",1
24,947511410736664577,947511410736664577,2017-12-31,georgiamcax,Actually greeting at the fact I’m too unwell to go out tonight 😭😭😭😭😭😭😭😭😩😩😩😩😩😩 ,['#depressed'],Actually greeting at the fact I’m too unwell to go out tonight 😭😭😭😭😭😭😭😭😩😩😩😩😩😩 #depressed,1
27,947504004287926272,947504004287926272,2017-12-31,solidsmark999,Im getting sick of everything from not being able to sleep to the constant pain and the loneliness i feel constantly im about to just say fuck it to everything!!! ,['#depressed'],Im getting sick of everything from not being able to sleep to the constant pain and the loneliness i feel constantly im about to just say fuck it to everything!!! #depressed,1
29,947503603736043520,947503603736043520,2017-12-31,zambuddy2love,Finding someone to be  with this ,"['#depressed', '#newyear']",Finding someone to be #depressed with this #newyear,1
31,947496868669304832,947496868669304832,2017-12-31,nomoscarydreams,"*sigh* a few more minutes......
.....a few more nightmare.

  ","['#depressed', '#on', '#newyear2018']","*sigh* a few more minutes......
.....a few more nightmare.

#Depressed #On #NewYear2018",1
32,947496308876763136,947353042319564802,2017-12-31,hauntingnellie,listen to me I am still  but god I LOVEEEEEE HER,['#depressed'],listen to me I am still #depressed but god I LOVEEEEEE HER,1
42,947434041372041222,947434041372041222,2017-12-31,arisu_ayumi,"can you remember how we both laughed and said we have so much in common? Do you remember when I told you ""the worst thing that could happen is leaving me""? 

   pic.twitter.com/QvL5JxdY5i","['#depressed', '#depression', '#alone']","can you remember how we both laughed and said we have so much in common? Do you remember when I told you ""the worst thing that could happen is leaving me""? 

#depressed #depression #alone pic.twitter.com/QvL5JxdY5i",1
49,947369738061205506,947369738061205506,2017-12-31,jesusisaliveint,Life's turned out totally different than you thought_You're lost & alone_Desperately Need Help-JesusChristHeals&SavesASK   ,"['#lonely', '#depressed']",Life's turned out totally different than you thought_You're lost & alone_Desperately Need Help-JesusChristHeals&SavesASK  #lonely #depressed,1
50,947362812380069889,947362812380069889,2017-12-31,oneversustwo,I'm a demon in the eyes of the Lord. :( And it makes me sad because I used to be religious beyond belief. So sad. ,['#depressed'],I'm a demon in the eyes of the Lord. :( And it makes me sad because I used to be religious beyond belief. So sad. #depressed,1
51,947360652909146112,947360652909146112,2017-12-31,imilkies,"Lepas baca apa yang JN buat dekat instastory tu, aku pun terfikir juga. Ramai yg ingat  tu main - main hm 🥀",['#depressed'],"Lepas baca apa yang JN buat dekat instastory tu, aku pun terfikir juga. Ramai yg ingat #depressed tu main - main hm 🥀",1
