numb,label,tweet
0,0,"The Audacity of  Whom are the ""We""  represents? Oh I get it... It's the pecker in the girls potty people??‘�"
1,1,"tbh, I'm NOT that Excited to celebrate Christmas because of my disappointments -__-  "
2,1,Silence might be suffocating and unbearable but you can't deny its comfort when you need it the most.
3,1,"I lost interest in everything, all the things I used to love doing, I haven't done them in months. Major pieces of me are missing and no one even sees that I'm fading away"
4,0,Cavalry Style Electronic Cigarette  pic.twitter.com/3ia1npbgPU
5,0,lexis so beautiful it makes me 
6,0,I <3 this @ANOHNItweets LP so so much 
7,0,"Wajir county is becoming more of fucked  up crib since August 2017.   and nightmare   Economical shutdown,blackout,tribalism, inter-clan clashes, Impunity,staged managed Africa cinema,influx of non locals and many problems.  #"
8,1,I hate it I hate it I hate it I hate it I HATE IT LIFE I HATE   
9,0,What can you say about @rogerfederer #awestruck.....
10,0,the one who stayed
11,0,I am the writer of my own disasters
12,0,@AsfandKhan6 Glad it went well 😄
13,0,"@johntassparker Well, at the time, I think there was that concern. Now it is all bright and shiny with a price tag to match."
14,0,Glad the way eastenders is doing Lee's storyline   
15,0,damn dave chapelle's new netflix collection is fucking hilarious i love him sm
16,0,The best photo that describes me ??’”   ??’”  pic.twitter.com/HZngzZlxu6
17,0,There’s an old saying about a place called “hell” where bad people go to after they die. The worst part about hell is not the flame ! It’s the hopelessness! And I think this’s part of hell that a person with depression really taste... the hopelessness.
18,1,I guess it's because I'm not feeling well that I feel so low.  Throat is starting to flare and I can't cope with it right now.
19,1,"I'd like wish everyone a Happy Holidays, but I'm alone with no significant other. Fuck me. "
20,1,"""Sometimes i feel,im loosing it,,feel like hanging on a cliff,anytime will fall and never be seen again."
21,0,"For all of those who suffer from   and find NYE difficult, I know we can get through it together."
22,0,@Kawells00 So bright that kill my heart😂
23,1,Omg why does everything have to take so long?? If it's my call it should be quick. Just want my baby girl back. 
24,1,Looking for good news today...not finding any on Twitter. Bummer. 😢 #depressing #badnews
25,1,Why is my life so cruel?????
26,1,I can't even think about football let alone watch it this afternoon
27,0,Hope he gets better ??™� â€œ@MickeyDeadBish: Uncle Back In The Hospital â€�
28,0,And so she drinks to numb the pain away because it's easier this way. This way she has control.  
29,0,@YummyMummiesAU LOL 😍 This show is so funny
30,0,My album of the year was   - few artists have managed to convey the modern world's horrors so beautifully. Bold move.
31,1,Been kicked to the kerb by a big company yet again in my quest 4 a decent job
32,1,Done absolute fuck all the last 2days 
33,1,"Hate seein stories on animal cruelty, why would any1 wanna hurt poor defenceless animals 😩😭 #StopAnimalCruelty #heartbreaking #worldsgoneMad"
34,0,This algorithm can guide management of the next  or Suicidal patient you see in your ED.  covers this complicated and critical Chief Complaint. pic.twitter.com/z3EKgdKzY0
35,0,@LoveIsland That rap reminds me of when the kids were small and they would prepare a performance #cute #crap 😂
36,1,"When my  tried to feel sorry for me, it was just annoying: ""Where were they when I needed them?""If others thought I was unhappy... I didn't share their point of view.  did not cause me any inconvenience, on the contrary I considered it to be my advantage.  pic.twitter.com/dbLxH6IBro"
37,0,if anyone has any tips to help me worry less then hmu
38,0,"@MFaizAbdulKarim And i'm serious, 20-23 july, singapore, holiday (and accompany my friend for job interview), with one of my friend."
39,0,@JustinOEarlwood #awesome news for the blues
40,1,"Internet on point,Channel O on point "
41,0,"Some days the  settles in the soul. The eyes don't twinkle, the lips forget to  and the  sinks."
42,0,Being deprived of Godâ€™s joy will lead you to addictive carnal pleasure... Looking for Love in all the wrong places...! 
43,1,"Don't u ever feel like u're trapped in a cycle of misfortune events and you just want to get out of it ?

"
