numb,label,tweet
0,1,All I want for Christmas is my daughters to come home ?? is that to much
1,1,Maybe I won't see 2017. I don't know.   
2,1,I have to pick up all the pieces of my heart & dignity! All over again .. by myself .. that's so pathetic & humiliating .. ??’”??¤§ 
3,1,"Don't feel the best again today. Trying to get moving and haven't done anything yet. House needs doing, hens cleaning out and dogs taking out. A shower first on the list and shopping for this evening. christmas and New year always hard work for me.  "
4,0,"We would like to have a conversation on Twitter with an athletic trainer, about the effects seen on  and  when a person with these issues has begun training. We know you're out there! Share your experience and let us amplify it for others!"
5,0,@GutoAberconwy Your majority is 635 members of the public- believe me you have offended rather more than 635 voters!
6,1,I'm starting to wonder if  is actually looking out for me right now. I would say why but I'm too embarrassed. I'm 2 low class 
7,0,"Another cup of coffee with cookies and smart, intelligent, brilliant ,the best  #attorneysatlaw . What can I do? God made us! #happy"
8,1,My depression & anxiety has worsened over these past few months. I’ve lost interest in things I once loved doing. Due to my tumor returning I’m unable to continue with TMS treatments & I refuse to take anti-depressants. Everyday is a truly a fight against my brain.
9,0,I hope my eyes were camera that records all happy moments+
10,0,What do we expect from a system where health care and education are among the most profitable commercial businesses?!
11,0,Do you set boundaries for yourself. Not doing so will eventually create unintended stress and anxiety. Setting boundaries will make life a whole lot easier.
12,0,Timmy said I changed  I'm depressed eboy now
13,0,I wore all black today as metaphor for my state of mind and also for the state of America on this day.   
14,0,slowly your heart peeled off itself...  
15,0,This Wednesday @ChandlerBMusic #kickstarter begins! Y'all be READY! #ChandlerBayMusic #ChandlerBayEP #tantrum
16,0,When you repress your emotions so much it takes days to figure out you're not just being tired and lazy 
17,1,And all the bullshit in your live ends and nothing will bother you ever again #depression
18,0,Apparently you get a free pass just by mentioning    Where was I on the free badge day??!!
19,0,My soon to be ex wife needs to learn to chill out &amp; smile 
20,0,It's a  when your neighbor loses his job; it's a  when you lose yours.
21,0,Today is already off to a great start..... 🙄 
22,0,@AngelaKochuba Thanks for following! Have a #joyful day!
23,1,When you feel like a stranger in your own environment.   pic.twitter.com/w1sj4IlSUa
24,1,ok im running out of steam because god im feeling so  this morning
25,1,"Hey there internet, it's your girl Nakatami64 and I am exhausted. I don't really want to get too much into everything but this depression is hitting me hard. I haven't been sleeping well, I've lost most of my appetite and it's gotten harder and harder to smile lately. 1/5"
26,0,Don't let a #Season of #Sorrow turn into a lifetime of #bitterness ~ #FearfullyMade #GracefullySaved
27,0,Saving up to buy a house so I guess I should stop going to the movies more than once to see my new favorite Disney movies 
28,0,"When you living with someone that is manic depressed, life stops   ???????”"
29,1,I'm cramping so fucking bad but bb boy isn't here to rub my tummy. ???¢ 
30,1,i hate nye for the last like 3 years ive had nowhere to go and i get so damn depressed seeing literally every other person in the world at a party or living it up in some way i just want to die lmao
31,0,New year's eve is so sad to me because it's when my most beloved band split up.    ???–
32,0,My family has been using my blue oil like its water and I gave Ahmed my last blue oil
33,0,It takes a smoke detector 4 months to stop beeping if you were wondering how #lazy I am. #lol #funny #Comedy #laughs #CrackMeUp #hilarious
34,1,I don't remember the last time I've cried this much from being sick.    ????????
35,0,Gooood morning it is such a #blessing to see another day all that Read this I hope have a great morning
36,1,Realized that not ever having children has made me .
37,0,Time to get my dreads back I miss them 😩😩 #dread head #girlswithdreads
38,1,When you're up $80-$90 and lose it all because you just can't stop<<<<<<<<
39,0,"""Worrying does not empty tomorrow of its troubles, it empties today of its strength.""    "
40,0,We'd be perfect together but Im to shy and you wont reach out so i guess we'll never know what could of been.
41,1,This last year has been the most mentally/emotionally draining and exhausting year ever. I’m just not the same person I used to be since he left me??
42,1,"Would love to stop crying sometime today, on my tenth cry 🙄 deep sadness on top of food poisoning do not mix. #miserable"
43,1,new year's eve just makes me realise how lonely i am and i already want it to be over. i mean i'll only have to look at everyone's stories tomorrow anyway but new year's eve just makes me even more depressed.
44,1,Today has not turned out to be a good day.     pic.twitter.com/jCG6EZ14Ea
45,0,1-3KohGeーBuddhism verse for cleanse oneself with incense #Buddha
46,0,Many people told me so far to stop and give up because there is nearly zero hope. I can't wait to see how it ends.  vs 
47,0,I smile
48,0,I really did not give Notre Dame a chance in this game.  
49,1,"For as long as I can remember, I've had trouble falling and staying asleep. I struggle with severe anxiety which is one of the reasons I have such difficulty sleeping. My parents gave me a weighted blanket for Xmas and for the first time ever, I slept through the night"
50,0,"I didn't think it was your job to fix ""Poverty"". I think that if you and  were to  there would be a lot less  in the neighborhoods."
51,1,"The world I was raised in there is no give in take just take,take,take,take,take,take,take,take even when you don't think you have anything left to give the world wants that to. I could go for some positive vibes today. "
52,1,Why is it always my fault? ???­???­ I'm so done with life.  I can't do anything right. ???¢   pic.twitter.com/pYOcCC9QbE
53,0, little miss Debbie downer over here.
54,0,"The  in  disorder is deeper, darker, and more persistent than in unipolar disorder (depression)."
55,1,"This year was a rough one. A lot of my motivation was squashed by a lot of different things, and a lotta shit has felt hopeless. But, like. Honestly giving up has been out of the question for so long now that it still impresses me that I feel that strongly."
56,1,Bro it deadass suck when you try your best to make one person happy and end up letting everyone down #disappointment
57,0,Like I'm going for a subway when I clearly shud be eating salad ??�·???­ 
58,0,"Lying at the pool with John , ice cream , drinks, 29 degrees and listening to busted ✌🏼️ #bliss"
59,1,Sudden feeling of darkness.... Show me the light Ray I'm feeling pretty hopeless
60,0,I definitely know my karaoke song now so hmu and it's by Britney shocking
61,1,"I'm feeling lonely and unproductive these past few days. I have many failed expectations to do something worthwhile. It's been 5 months since I moved to a new city & yet I gained no friends, I have not travel to any places like I used to. I need to detox. "
62,0,kokobop is such a weird name\nbut I remember that it is said to be more lit that growl and it is #EXO so I'm accepting the name
63,1,Depression and man flu good end to the year
64,0,Possibly the worst 90 min commentary I've sat through. The only consolation is not having a 225 mile drive home.  
65,0,  I am legitimately afraid of using social media. Too neurotic.
66,0,"When you text your mom ""there's something wrong with me"" and she don't answer :) "
67,0,"""Me Before You"" has me crying my eyes out right now "
68,0,If you are struggling with   this festive season. We are open 24/7 to offer . Call 0800 132 737. pw
